Reinauguração do Prédio da Avenida Rio Branco;AtosEFatos1;
O prédio da Avenida Rio Branco é tombado;AtosEFatos2;
Instalação e Posse do Conselho de Representantes;AtosEFatos3;
EFTRN vence prova que inaugura a sua piscina;AtosEFatos4;
Construção do Estádio de Futebol da ETFRN;AtosEFatos5;
Banda de Música da ETFRN;AtosEFatos6;
JEBEI;AtosEFatos7;
Fundação da ASETFRN - 1975;AtosEFatos8;
Construção do Auditório da ETFRN;AtosEFatos9;
Centro Lítero Recreativo Nilo Peçanha;AtosEFatos10;
Pentatlo Nacional teve mais de 2 mil atletas na Escola Técnica;AtosEFatos11;
CEFET forma primeira turma do curso de língua japonesa;AtosEFatos12;
NIT - Núcleo de Incubação Tecnológica;AtosEFatos13;
Prédio da Av. Rio Branco abriga presos políticos;AtosEFatos14;
Ingresso de mulheres nos cursos da ETFRN;AtosEFatos15;
ETFRN tem sala de estudos com nome de Miriam Coeli;AtosEFatos16;
Coral Profa. Lourdes Guilherme;AtosEFatos17;
CEFET anuncia a conclusão das novas unidades;AtosEFatos18;
Banda americana se apresenta no aniversário da ETFRN;AtosEFatos19;
